Location,Year,Fatalities
United_States,1982,8
United_States,1984,28
United_States,1986,15
United_States,1987,6
United_States,1988,7
United_States,1989,15
United_States,1990,10
United_States,1991,35
United_States,1992,9
United_States,1993,23
United_States,1994,5
United_States,1995,6
United_States,1996,6
United_States,1997,9
United_States,1998,14
United_States,1999,42
United_States,2000,7
United_States,2001,5
United_States,2003,7
United_States,2004,5
United_States,2005,17
United_States,2006,21
United_States,2007,53
United_States,2008,17
United_States,2009,39
United_States,2010,9
United_States,2011,19
United_States,2012,71
United_States,2013,35
United_States,2014,18
United_States,2015,46
United_States,2016,71
United_States,2017,117
United_States,2018,80
United_States,2019,73
United_States,2020,9
United_States,2021,43
United_States,2022,74
United_States,2023,27